,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7
phi_0,0.0,0.0,0.07398796,0.0,0.0,0.0,0.0,0.0
phi_1,0.0,0.0,0.0,0.53716236,0.0,0.0,0.0,0.0
phi_2,0.0,0.0,0.0,0.0,0.122828186,0.0,0.37246132,0.15369016
phi_3,0.41963464,0.0,0.59072953,0.0,0.19538844,0.15377063,0.0,0.28348517
phi_4,0.0,0.190476,0.0,0.0,0.0,0.47575766,0.48593384,0.072190166
phi_5,0.0,0.0,0.4858517,0.0,0.0,0.0,0.0,0.20459718
phi_6,0.0,0.6105073,0.1947524,0.5221699,0.0,0.38867027,0.0,0.0
phi_7,0.19359505,0.0,0.043818116,0.22120172,0.22717625,0.31295973,0.0,0.0
