sample,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
10,0.039390244,0.023911506,-0.04421131,0.025742982,0.014479274,-0.07844839,0.10925364,0.061913602,-0.038769472,0.009985193,-0.017451348,-0.0819823,-0.033423316,0.0749156,-0.08053022,-0.0051588765,0.046362303,-0.0047248933,0.0068029407,-0.0009249784,0.05384272,0.07460683,-0.053081214,-0.0666956,0.03492982,-0.014806293,-0.037985627,-0.07897961,0.046564378,0.019512486,0.021758344,-0.035941415,-0.00241898,-0.0002107853,-0.012006592,0.04191567,0.01449436,0.044421576,-0.014308851,0.025468856,0.057320066,0.05946035,0.00952445,-0.07443091,-0.004447218,-0.12529993,-0.07053158,0.05388829,0.022563124,-0.012526184,-0.14548293,-0.0010810411,-0.03165593,-0.009923585,-0.00086101145,-0.03656096,0.043776706,0.04809686,0.019991366,-0.004045654,0.002257673,0.042878672,-0.0154339485,0.041529622
11,-0.049955886,-0.030296657,-0.060371835,0.052017234,0.0029059257,0.023422856,-0.052986197,0.03136135,-0.009785983,0.041903906,0.013193263,-0.019916387,-0.090666085,-0.080123074,-0.05394753,-0.09717189,0.0022351928,0.007304943,0.08101557,-0.046024013,0.034461033,0.022606915,-0.08543305,-0.014629584,-0.0010160618,-0.09517149,-0.07777383,0.0042468067,0.04342696,-0.0014213715,0.027291054,-0.010837192,-0.08172971,0.036654383,0.013883253,0.047502607,-0.028563188,0.081352845,-0.010458324,0.011874534,0.015405612,0.04269624,-0.091100246,0.026948962,-0.010325596,-0.027320914,-0.07015076,-0.008644581,-0.0002550399,0.058846373,-0.032594256,0.030386195,0.05998917,-0.055789065,0.033597197,-0.0181271,0.03364869,0.084035814,-0.0006853333,0.09012922,-0.011866998,0.026561156,0.016232532,0.018864289
12,0.012856092,-0.025465399,-0.060046867,0.012746997,-0.0013458712,-0.0076267608,0.0049207355,-0.027266344,0.03189137,-0.08065097,-0.07045145,-0.05951207,-0.10390232,0.04155398,-0.11297845,-0.11128132,0.0044142697,0.05145412,-0.029338237,-0.037279665,-0.024635885,0.029639127,-0.00034831464,-0.08277093,0.041257154,-0.0099183805,-0.011919251,0.02213974,0.026540954,0.018437797,0.014288755,0.0053075915,-0.06879481,0.01070709,0.012170526,0.06585919,0.035223857,0.07647092,0.04452066,-0.05731198,0.02120556,0.039131857,-0.065856345,-0.085070476,0.027142849,-0.07724089,-0.06610465,-0.0495128,0.011929031,0.036551565,-0.006230336,0.0032613087,-0.035023674,-0.0212734,0.06949565,0.012874905,-0.00073493645,0.0002096016,0.00041061547,0.00971233,0.041544653,0.032380547,0.04610224,-0.02358277
13,-0.014174599,-0.043754473,-0.049019128,0.017156813,0.0466967,-0.048366085,0.016058782,-0.009608991,-0.0030179578,-0.039276797,-0.066520035,0.0049713356,0.016020274,-0.018707626,-0.07232992,0.027581587,-0.015466614,0.028330222,-0.027393403,-0.05714233,0.03903175,0.09333975,0.04857775,-0.025165275,0.097393274,-0.004618846,0.0020980989,0.02394422,0.07847981,-0.032209426,0.03240421,-0.0560416,0.028825011,0.019713309,0.016408883,0.10294256,-0.038457107,0.019316422,0.028323047,-0.0068442235,0.02842313,-0.028171243,-0.042458437,-0.03103033,-0.047608085,-0.031909037,-0.04754807,-0.011836791,-0.06599806,0.00033306703,-0.021261672,0.041140903,-0.036844227,0.009079298,0.024398616,0.007695822,0.060206562,-0.030316629,-0.004401865,-0.0025368659,0.041793056,0.030510474,0.0022431747,-0.018810688
14,-0.015480442,-0.05798564,-0.073393665,0.0054995804,-0.03176139,-0.0019144071,0.0066667004,-0.032037303,0.021360641,0.025482247,-0.049417924,-0.021251801,-0.034911476,-0.018752104,-0.07433762,-0.020812627,0.009492319,0.07999363,-0.024538593,-0.068696186,0.043237124,0.056119457,-0.017027015,-0.006364422,0.034815084,-0.047161277,-0.007944787,0.011581736,0.07466031,0.0007893385,0.015482635,0.033349212,-0.01897679,0.0047131805,-0.016459823,0.048853014,-0.0348874,0.03736773,-0.018673567,-0.029829264,-0.016916417,-0.019100245,0.0024956092,-0.048461203,-0.0047203675,-0.058485217,-0.08840114,-0.07781923,-0.04667796,-0.018188007,-0.068866886,0.032228597,-0.027516417,0.015332917,0.04888975,0.012811759,0.052380014,-0.034917258,0.03296706,-0.0027987463,-0.01447624,0.033951648,0.045620304,-0.040082283
15,-0.07100414,-0.01859007,-0.051270127,0.0012293579,-0.0025193188,-0.0051238686,-0.017349169,0.098557666,0.013834396,0.019560577,-0.012394362,-0.016404226,-0.03700066,0.038594857,-0.070477456,-0.012820968,-0.035022337,0.03652542,0.002225589,-0.025696915,-0.022735886,0.049869917,0.0015505566,-0.05002314,0.028904987,-0.054984186,-0.07891776,0.010443896,0.06112106,-0.04564728,0.020356046,-0.035362337,-0.031096179,0.034985583,0.11420171,0.09672069,-0.012012446,-0.0123681,-0.059903394,-0.0358762,0.012186083,-0.015851999,-0.08371875,-0.050123893,0.04944934,-0.031295158,-0.09133441,-0.015210273,-0.044887014,-0.015973229,-0.11912102,-0.0044070664,-0.028966475,-0.009483998,0.0559631,-0.06510632,0.026756976,-0.005811033,-0.061055664,-0.02472383,0.030541945,-0.036643267,0.021504497,0.00022595935
16,-0.020136554,-0.080368236,-0.07753891,0.10219975,-0.046616845,-0.0680286,-0.021969423,0.02888719,0.018711511,-0.0509388,-0.047256965,0.02713008,-0.116608456,0.035234332,-0.05904733,-0.0765712,-0.07383662,0.08530996,-0.035326935,-0.047446065,0.064638734,0.04650535,0.008815292,-0.027895818,0.06490229,-0.05172362,-0.0230086,0.02202887,0.08968391,0.020266848,0.016284984,-0.046311658,0.010409268,-0.016278008,0.0516372,0.019838246,0.054498136,-0.0028260238,0.06505757,-0.021033294,0.0021609645,0.040943645,-0.02392992,-0.041295893,0.011336314,-0.03302882,-0.037458304,-0.00493675,-0.06402895,0.037079707,-0.05359129,0.023441693,0.039472938,-0.010995651,0.032537404,0.077217884,0.005836718,-0.02419604,-0.06999068,-0.087309346,0.028161447,0.075937666,-0.04506124,-0.11262192
17,-0.09422309,-0.022981627,-0.029776245,0.035404705,0.015434779,-0.055865083,-0.08034094,0.020430403,-0.01369299,0.020416377,-0.056770228,-0.05658479,0.009789867,-0.013902187,-0.004678931,-0.1553173,0.023085147,0.03270773,-0.041239124,-0.022399275,0.049077287,-0.020874169,-0.046937324,0.0022941176,0.0487184,-0.00047359336,0.013733514,0.0034248587,0.053338837,0.0020174496,-0.024868317,-0.031473175,-0.044478096,0.009306642,0.005190136,0.06102025,-0.006975943,0.0864211,0.0061857887,-0.061600387,0.05921653,0.035335496,-0.026193382,-0.003844662,-0.034241635,-0.002304444,-0.027232839,-2.4817884e-05,-0.10384809,-0.044046678,-0.06322646,-0.024141127,0.056709144,0.038269386,-0.012113987,-0.033711504,0.030982222,-0.054042473,-0.015795464,-0.049258143,0.027049785,-0.059284553,-0.01562737,-0.036175657
18,-0.0046005277,0.03118674,-0.057669785,-0.041423954,0.04991892,0.0012503807,0.032947775,-0.032647446,-0.012932975,-0.052244846,0.0018228805,-0.066661924,0.0026305607,-0.062530756,-0.04770551,-0.0557689,0.038037967,0.008070274,-0.008663663,0.0026310645,0.011070529,0.082183115,-0.028768912,-0.021235492,0.0931365,-0.0950219,0.039218165,-0.0024626618,-0.01689244,0.014665881,-0.029299233,0.0003536176,-0.017830655,0.0062298067,-0.026184887,0.020699542,-0.08241232,0.053119667,0.04379025,-0.007816372,0.016537212,-0.0016073049,-0.083796665,-0.006319304,-0.07924881,-0.05550907,-0.028513018,-0.036620118,-0.052060686,-0.06224473,0.019103467,0.077689625,0.030713428,-0.02280999,0.026224373,-0.009192546,-0.0061414186,-0.07856731,-0.044069394,-0.010750687,0.10239446,0.025314173,-0.009220386,0.034648076
19,0.10075232,-0.012898337,-0.018656965,0.12058269,0.013154813,0.018281532,-0.0665185,0.14297622,-0.035121694,-0.0480888,-0.056614928,0.0008991901,-0.053774446,-0.015230211,-0.10123661,-0.025433047,-0.0398986,0.037066553,-0.011459226,-0.014874041,0.18070382,0.041773643,-0.07438044,0.014328346,0.06206619,-0.026676867,-0.046092812,0.026658366,0.17934313,-0.00669597,0.033689357,-0.06925551,-0.037787788,0.025048995,0.014542971,0.06551989,0.027896808,0.1297799,0.033638984,-0.08011018,0.050900046,0.07944459,-0.07859717,-0.016443837,-0.00088844076,-0.09468677,0.0009155823,-0.0035989098,0.04731443,0.052590426,-0.055081017,0.05718873,0.0682803,-0.076122105,0.0044735596,0.045603774,0.022950416,0.0870461,-0.059987046,0.014536071,-0.033889096,0.010015753,0.0071739084,-0.01180226
