,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11
phi_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_2,0.16350622,0.24282011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_3,0.31155974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_4,0.46032387,0.1984064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_5,0.0,0.5075077,0.3102969,0.32997242,0.5073728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_6,0.0,0.0,0.2644781,0.0,0.07299981,0.4324263,0.0,0.0,0.0,0.0,0.0,0.0
phi_7,0.45734665,0.0,0.461661,0.0,0.3702311,0.0,0.3527636,0.0,0.0,0.0,0.0,0.0
phi_8,0.0,0.0,0.0,0.0,0.114510715,0.0,0.39981169,0.06284703,0.0,0.0,0.0,0.0
phi_9,0.48654377,0.52709335,0.26640275,0.0,0.38644633,0.23089105,0.51124734,0.0,0.14440794,0.0,0.0,0.0
phi_10,0.0,0.0,0.5548288,0.39377367,0.0,0.063033715,0.4578495,0.20041989,0.51251894,0.29913586,0.0,0.0
phi_11,0.0,0.0,0.17317544,0.0,0.0,0.0,0.08256162,0.0,0.0,0.0,0.0,0.0
