,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7
phi_0,0.0,0.0,0.0,0.0,0.0,0.49558598,0.0,0.0
phi_1,0.0,0.0,0.46234947,0.4564417,0.0,0.0,0.0,0.52665037
phi_2,0.0,0.5502326,0.0,0.0,0.0,0.0,0.13556021,0.0
phi_3,0.0,0.33841634,0.42864722,0.0,0.47437316,0.55296713,0.39151996,0.33083463
phi_4,0.029438972,0.5746464,0.59850365,0.0,0.0,0.0,0.5077079,0.5346455
phi_5,0.0,0.0,0.07772875,0.0,0.19056916,0.0,0.0,0.0
phi_6,0.16033679,0.0,0.12937504,0.0,0.5825682,0.5222865,0.0,0.099511266
phi_7,0.0,0.0,0.6007388,0.23785579,0.0,0.11201978,0.3500188,0.0
