sample,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
0,0.03691445,-0.0125034675,0.013424356,-0.048125006,-0.010870447,-0.010447053,0.010756729,-0.024616603,0.020163197,0.01147875,0.048981454,0.08832884,0.09242372,-0.020888597,-0.011934253,-0.041469306,-0.014756218,0.05510298,-0.03278316,-0.031127844,0.045335952,0.05504499,0.04467675,0.12994248,0.07525049,0.044892535,-0.017269537,0.01823956,-0.048080985,0.06462296,-0.007972218,-0.022074435,-0.11324753,0.12208784,-0.056567628,0.07687194,-0.063096344,-0.02726836,-0.039660774,0.016152112,0.023228025,-0.044904135,-0.03394175,0.10476105,-0.021799298,-0.0014974079,0.08902626,0.06700981,-0.08211993,-0.074237496,0.028304711,-0.054061808,-0.010175871,0.054291636,-0.08414854,0.0039000204,-0.055200275,-0.042875536,0.005880766,0.030736098,-0.034505866,0.054670647,0.03655983,0.011194438
1,-0.044640746,0.013142331,0.032248393,-0.002609395,-0.009726605,0.0511394,0.03921038,0.037986122,0.059804507,0.0109450435,-0.021644343,-0.08660675,-0.105092406,0.044996753,-0.0913014,-0.07078144,0.05707102,0.05801697,-0.0707213,-0.03146272,0.02085517,-0.016686037,-0.02495088,0.0066525023,0.0027427063,0.03862313,-0.017013982,0.04380502,0.11634603,0.040484324,-0.066223755,-0.029821701,-0.017725112,-0.030219326,0.031331927,0.009337151,0.031035103,0.06286789,0.010432301,-0.072501026,-0.026090018,0.05139275,0.009587303,-0.0266443,-0.009040162,-0.05078119,-0.022712987,-0.021494173,-0.0028830785,-0.015588767,-0.04961909,0.07240678,-0.022994125,0.042787462,0.02976891,-0.067467704,-0.013029292,-0.0051533133,-0.07499027,0.07359189,-0.007897172,0.01738094,0.06325117,-0.03800895
2,0.022885703,-0.06732329,0.022528566,0.007681735,-0.014517367,0.0043189684,0.057474926,0.021399401,0.0697205,0.059806343,0.063907295,-0.0040206863,0.048092183,-0.025985388,0.0035807062,0.00085604796,-0.022304056,0.005395524,0.021625474,-0.010748555,0.016222939,0.024700368,-0.002784811,0.08796804,0.01220654,-0.029144602,0.0062615955,0.0016862042,0.09460531,-0.030744797,0.004759708,-0.021145841,-0.0025366757,0.017830066,0.027012978,-0.02753264,-0.1299236,-0.05496397,-0.006850885,-0.06907123,-0.015139889,-0.05930111,-0.028467955,0.018109512,-0.066164255,-0.05255451,0.005535345,0.03406799,0.01476468,-0.012321892,-0.021258496,-0.019644514,-0.060272563,0.044599757,-0.02041372,-0.046479486,-0.042599272,-0.064572915,0.044948723,0.026139028,-0.050761595,0.013587955,-0.018131085,0.078076534
3,-0.009946682,0.023197936,-0.014683257,-0.006047882,0.0043916106,0.04172696,-0.010229653,0.015465915,0.040312648,-0.021552676,-0.08948405,-0.029741269,-0.090013735,-0.04541616,-0.05729752,-0.05907238,-0.07935308,0.027505463,-0.051453013,-0.02164865,0.03517779,0.07714078,-0.047480963,-0.06236951,0.03319083,-0.013573438,-0.02265329,0.06893644,0.05371811,-0.013926778,-0.060131975,-0.05272964,0.029431488,-0.041570343,-0.041626997,-0.004347509,-0.01806838,-0.03993656,-0.054447312,-0.043686926,0.0018072575,-0.017928455,0.059305623,0.03836266,-0.012525081,-0.081744075,0.024806768,-0.01740067,0.026168462,-0.006724132,0.016338978,0.081286564,-0.039365824,0.008102825,0.061446726,0.009605292,0.012526158,-0.037237305,-0.08991623,-0.06541815,0.064430036,-0.017407626,0.049392924,-0.021130335
4,0.05344507,0.0033529336,-0.033225328,-0.014379245,0.0010646451,-0.09980205,-0.0038866373,-0.004870288,0.066031985,-0.055244245,-0.05462586,0.019108035,-0.05374655,-0.01961419,-0.023555126,-0.020797502,-0.07149238,0.06609651,-0.11739705,-0.057373986,-0.019777553,0.07943005,0.06092105,0.03694223,0.068878494,0.044912044,0.0030477904,0.026386304,-0.008575949,-0.050940968,-0.038708422,0.015347049,-0.0674771,0.0532517,-0.042724274,-0.013077294,-0.025017198,-0.053779066,-0.0006316041,-0.018802393,0.07654883,-0.031566344,0.09806493,0.0073830625,0.048670936,-0.041916452,0.048907187,-0.025445828,-0.004783157,-0.05554942,0.0009598704,0.08497648,-0.05856889,0.0013720216,-0.084021404,-0.07732081,-0.0046444125,-0.07030792,-0.05773223,0.08158095,0.027022462,0.070031375,0.014225239,0.036966592
5,0.03740444,-0.03320265,0.0035300264,-0.008045924,-0.0322965,0.0017410517,0.028498214,-0.07141455,-0.084352985,-0.045048784,-0.03732193,-0.08174502,-0.15017009,0.024834115,-0.072074644,-0.003860528,-1.9064639e-05,-0.021869518,-0.06216613,0.06357693,0.018448416,0.048540615,0.013936186,0.048523217,-0.014202531,0.02124763,-0.032210156,0.006020967,0.015014861,0.0062569138,-0.040496297,-0.030657893,-0.024616798,-0.06578827,-0.06743951,0.026795913,-0.050001875,-0.011252193,-0.012554923,0.11697755,-0.012877278,-0.10067262,0.07906533,0.10499288,-0.032850176,-0.0030847667,0.007889964,-0.0066529475,-0.15176743,0.015598024,-0.053583726,0.0018719416,-0.014285575,-0.08327501,-0.007855151,-0.054415096,0.047299527,0.042758,0.010783102,0.096910894,0.04328344,0.06879837,0.028892707,0.011658562
6,0.13830072,-0.114842325,0.06419979,0.007090307,-0.039811596,-0.017106365,0.03670302,-0.015964251,-0.10245991,-0.020105358,0.05622894,-0.022707311,-0.10046193,0.0693795,-0.037975255,-0.048046365,0.008543754,-0.04286895,-0.07258811,0.00010908395,0.03948194,0.052795157,0.030320652,0.022057712,-0.007923909,0.06804092,-0.035502173,0.005264342,-0.0044307956,0.022091046,-0.07034969,-0.017800314,-0.057095934,-0.002565816,-0.036144122,0.030593025,0.036293294,-0.06922893,-0.026523402,0.09883253,-0.012473874,-0.007233002,0.0798008,0.070164055,0.006915487,-0.03256703,0.05935093,-0.017335067,0.00324901,-0.010459934,-0.03929699,-0.008408978,-0.0037851334,-0.023798963,0.018164659,-0.020952068,-0.02768256,0.035148904,0.004919693,0.066995606,-0.032289468,0.10135671,-0.01420526,-0.04596583
7,0.006658733,-0.049692214,0.0064956117,-0.033494465,-0.007002282,-0.04364816,0.07694643,0.0151989795,-0.015973812,0.018108677,-0.0043760203,0.010301984,-0.09007284,0.061532114,-0.037741784,-0.020016521,-0.05962727,0.015358999,0.039656326,-0.023961542,-0.006107051,0.12722181,0.11326316,0.09277976,-0.029013366,0.024644319,-0.07821404,0.049700126,-0.031826664,-0.017839484,-0.026879981,0.07666306,-0.022626713,0.08681047,-0.07979622,0.03218007,-0.013493821,-0.09951861,-0.059171014,0.053658005,0.08182346,0.0044316575,0.087220065,0.028389394,0.012160692,0.042425334,0.001036128,0.005985371,-0.048852433,-0.08878848,0.0025321078,0.025767125,-0.08859293,0.026720883,0.003379669,-0.0021130424,-0.013792311,-0.0040503377,-0.022356426,0.018663432,0.110698916,0.02664735,-0.03307356,0.01461423
8,0.022168633,0.0055703185,0.050427385,0.031438243,-0.011806656,-0.055555362,0.041712705,-0.003630993,-0.014490493,0.028035367,0.060360797,0.026001226,-0.05824173,0.074259765,-0.0453507,0.035532374,0.02946005,-0.035778668,0.04358843,-0.04748385,-0.007915318,-0.051558655,0.020306475,0.13434146,0.03186162,0.072108895,0.09755226,0.014439812,0.03195642,0.062071454,-0.008789301,-0.036137424,-0.018975943,0.060485918,0.04260213,-0.041040096,0.03707594,0.029163988,0.0025507193,0.04355543,-0.015298943,-0.016323019,0.04140211,0.034035947,-0.08444776,-0.03366225,0.05230227,0.07440358,-0.12568855,-0.046213612,0.004224252,-0.011667611,-0.0024570357,-0.050733827,-0.028718887,-0.040073194,0.035544395,-0.036270224,0.05540883,0.0371914,-0.017726308,-0.014262863,0.016329499,-0.026143365
9,-0.022159334,-0.08989028,-0.025913885,-0.07897159,-0.06840396,0.07895395,0.086899646,-0.044006694,-0.03380716,0.0267462,0.04223177,-0.02871155,0.022178236,-0.024089407,0.0077829156,0.018957384,0.028739281,-0.028512724,-0.059226837,0.031243464,0.0663621,0.05444015,0.020311657,0.08706164,0.009916586,-0.002214929,-0.008793646,-0.006477168,-0.015780885,0.028436236,-0.026306538,0.018538969,-0.038108714,0.016405372,0.0100793205,-0.024649605,-0.0028928602,-0.029003432,-0.024015239,0.039497465,-0.044563737,0.023734646,-0.011690465,0.1263702,-0.028415907,-0.068250105,0.061850376,0.07147307,-0.074435346,-0.02809281,-0.06755067,-0.004572734,-0.05446642,0.066281065,-0.041553326,-0.017788813,0.0241424,0.015097112,-0.057677194,0.06491036,-0.007556501,0.031641066,0.016116092,-0.008820007
