,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7
phi_0,0.0,0.16881275,0.46887487,0.098120034,0.38619167,0.0,0.49635857,0.0
phi_1,0.31244004,0.0,0.3876689,0.4572056,0.0,0.50726897,0.27749312,0.0
phi_2,0.25134265,0.0,0.0,0.0,0.0,0.0,0.0,0.14317346
phi_3,0.5977387,0.10547322,0.4993313,0.0,0.0,0.0,0.0,0.0
phi_4,0.4521541,0.0,0.0,0.0,0.0,0.0,0.0,0.11478412
phi_5,0.0,0.30017835,0.0,0.0,0.093313694,0.0,0.456706,0.0
phi_6,0.0703063,0.0,0.063032806,0.0,0.34674382,0.0,0.0,0.0
phi_7,0.0,0.39042503,0.12920797,0.58230525,0.14587909,0.14515913,0.0,0.0
