sample,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
0,-0.038353134,0.031918157,0.09080884,0.07453823,-0.12735012,0.027499475,0.00885633,-0.14211434,-0.00027867034,0.15522276,-0.029445585,-0.024414368,-0.06474131,-0.04108178,0.07447065,0.0066684964,0.0322957,-0.054582376,0.04710324,-0.017894287,-0.032031484,0.084280245,-0.013137169,-0.06178627,0.006617794,-0.017036952,0.00087064574,0.022050185,-0.063215256,0.05503528,-0.004881828,0.005359824,-0.01890046,0.04150814,0.027628515,0.034006298,0.03768676,0.008206669,-0.034859683,-0.045048807,0.085225835,-0.02000735,-0.02696177,0.013510598,-0.024623675,-0.04067099,-0.0035908164,-0.0068207104,0.024425307,0.06586078,0.012446921,0.0925045,-0.04083254,-0.049745776,-0.088341065,0.0083347615,0.05227843,-0.016167257,-0.03531664,-0.017862687,-0.066728085,0.019398384,-0.017966,0.024971351
1,-0.06572447,0.049733385,0.044638444,0.043403447,-0.06328926,0.07227848,0.067047626,-0.07322432,0.015044214,0.049131915,0.010506675,-0.028021876,-0.0063297707,0.0015999842,0.06492205,-0.014148084,0.0065592686,-0.013689115,0.02215154,0.016226415,-0.008884972,0.06999211,0.07131867,-0.06376748,-0.018365897,0.0015982101,-0.01430999,-0.018190043,-0.04338962,-0.030530691,0.008513194,0.014669413,-0.042394176,-0.032146417,0.016866246,0.04253497,-0.058255788,0.033058878,-0.038661063,-0.03209614,0.0385889,-0.064997785,-0.027563684,0.0055447835,-0.049374454,-0.015446305,0.022712443,-0.04078743,0.0036752066,0.06874445,-0.014155961,0.09464927,-0.070967525,0.010299143,-0.036128506,-0.038404517,0.00140863,0.0019117054,0.06851611,-0.07984548,-0.01961328,0.04360862,-0.037250023,0.023182627
2,0.047291677,-0.013142343,0.10421643,0.029076211,-0.091416076,0.024765369,-0.050148882,-0.15272032,0.04300869,0.034078576,-0.03482219,9.1820955e-05,-0.0052118097,0.029020928,-0.010086452,0.04018159,-0.06042064,0.03300225,-0.006492976,-0.016839394,-0.020732181,0.007755326,-0.016957404,-0.091108024,-0.052606486,0.069403715,0.06751819,0.02856224,-0.045097794,0.015791409,0.060175296,0.012269535,-0.01138654,0.05845651,0.036009382,0.041266017,0.005234077,-0.01641156,0.021600606,-0.0046897917,-0.0071838005,-0.04838965,-0.008159041,0.0333845,0.05670882,-0.11846986,0.06616911,0.05356255,-0.0041258903,0.040417086,-0.00062658265,0.09845858,-0.06182313,-0.045313638,-0.06657878,0.028325515,-0.014325112,0.005025627,0.025365578,0.047168583,-0.09271466,0.040099606,-0.0051986687,0.047083754
3,0.049746037,0.009303646,-0.010477688,0.048016172,-0.06737392,0.015875185,0.07844333,-0.042062603,-0.02297574,-0.017780198,-0.030406259,0.017923608,0.07730738,0.02654748,0.012111155,-0.017477205,0.057344425,-0.020094544,-0.009196704,0.085433185,0.07665935,-0.041453026,0.05060987,-0.050130107,0.0056373784,-0.018355584,0.03000769,0.04123044,-0.04902123,0.0026200775,0.033500824,0.033861626,-0.01789354,0.018808674,0.0033115149,-0.010409059,0.01863043,-0.009450375,-0.012578775,0.02296471,0.049442127,-0.06719109,0.016596554,0.0059150793,0.029356929,-0.018033225,0.008755729,-0.10021491,-0.035191137,-0.005394864,0.0013041468,0.18676865,-0.05604869,-0.066351585,-0.11135775,0.035603523,0.019598624,0.009034716,0.035961144,0.022486035,0.023101065,0.03308895,0.00091323024,0.03188154
4,0.006617612,-0.04988085,-0.06088472,0.0312316,-0.037933122,0.053771097,0.017169628,-0.027178895,0.016060036,0.018160423,-0.09936121,0.017608754,0.006839525,0.03770966,0.02562014,0.064350575,-0.038971435,-0.060759034,0.081834294,0.05184616,0.04703962,0.026497245,0.08168563,-0.11158943,-0.01266743,0.040152673,-0.048233304,-0.0070253816,0.04271272,-0.019693533,0.116592586,-0.042798392,-0.0838501,0.033327717,-0.008374001,0.013651655,-0.0068207476,-0.039102733,-0.018287767,-0.000978962,0.020302422,-0.053629465,-0.014274243,0.03558458,0.03369674,-0.018675372,-0.0073998165,-0.03846986,-0.041734956,-0.04639877,0.076487824,0.124788836,-0.098135844,0.030221447,-0.066695824,0.031371757,0.06580178,-0.029944742,0.064798355,-0.027561884,-0.06568601,0.012368987,-0.05021281,-0.04611002
5,0.051624473,0.044903874,0.008780334,0.07021551,-0.079296954,0.103123724,0.064953946,-0.08263387,-0.007834966,0.058339108,-0.110362865,0.008208225,0.033540837,-0.042851314,0.07145205,-0.04188098,0.000293985,0.006592024,-0.07341343,0.0030316934,-0.06739254,0.046860665,0.014551956,0.045355465,-0.0034713447,0.06796594,-0.014916338,-0.01964639,-0.03443292,-0.012491687,0.02050028,0.052227248,0.021700878,0.027916837,0.025989395,-0.0020708041,0.025515627,0.0681411,-0.025172368,0.05148321,0.024975274,-0.054219596,0.06911214,-0.013168354,0.0757833,-0.048275415,0.0046418607,-0.051471766,-0.04200589,0.07053467,-0.015203716,0.16115129,-0.046660133,-0.006646554,-0.096589744,0.042907394,0.02595021,0.025258776,-0.0022999728,0.014724573,-0.049865745,0.03766852,-0.06251515,-0.0047158413
6,0.044243228,0.08418901,0.083635844,0.052417643,-0.13573635,0.025425633,0.008123381,-0.043277115,-0.014539338,0.038868405,-0.096679516,-0.04141049,0.050580855,-0.01364539,-0.014094982,0.03342189,0.020099249,-0.059211597,0.013507423,-0.021583483,0.018784663,0.0375793,-0.021823708,-0.01672563,-0.017972622,0.019274889,0.018784694,0.051577017,-0.057643786,0.04140675,0.0891058,0.08919999,0.010488605,0.033333484,0.08087135,0.06970962,-0.048033297,0.0819388,-0.036622405,0.04591097,-0.035960346,-0.10317157,-0.022381209,0.006927399,0.066870585,-0.115548514,0.06446136,-0.060089167,0.043665595,0.03773304,-0.012032295,0.09753673,-0.060529012,-0.072201975,-0.017007437,-0.018446298,0.039426874,0.05997265,-0.050462924,-0.026105953,0.001560133,-0.010168303,-0.06886077,0.09196886
7,0.006964244,-0.008813435,0.024167806,-0.030401079,-0.08794202,0.12799363,0.030199148,-0.13413551,0.019220805,0.03802795,-0.0865062,-0.09803238,0.010687849,-0.07734177,0.008376151,0.059843317,0.007397908,-0.036003098,-0.103549704,-0.03717702,-0.024089672,0.02867205,-0.035445154,-0.06219101,0.03844007,0.011987491,-0.01769624,0.03108078,-0.115449265,0.00029313378,0.07364933,-0.03276331,-0.019062877,-0.014872408,0.10250322,0.024620805,-0.035775002,0.08339414,-0.09693893,0.047350075,0.040124957,-0.1286365,-0.026191223,0.033747744,0.028056633,0.04767881,-0.013270604,-0.010668633,0.0015907316,0.01917494,-0.036212873,0.07815047,-0.104572035,0.035298005,0.03159921,-0.01977731,0.10545099,-0.06317158,0.0026596184,-0.024512343,-0.049396403,0.06438145,-0.045951735,0.006527213
8,0.008913453,0.002521105,-0.017869715,0.030138763,-0.07633402,0.06244589,0.012210487,-0.13971496,0.03949393,0.10655605,-0.05234439,-0.041516915,0.0900227,-0.04417159,0.0011512283,0.011815587,0.029831963,-0.014732299,-0.033308476,0.016432054,-0.024132594,0.044063937,0.065537155,-0.111849755,-0.0068347296,0.026070941,-0.025267918,0.03315895,-0.025195537,-0.102892116,0.034054782,0.00033448543,-0.039968457,0.043772176,0.0314605,-0.043166433,-0.025829846,-0.016376054,-0.0058047175,0.012694463,0.0015165657,-0.050573528,-0.0557629,-0.007536531,0.044711486,-0.13143748,0.047732487,-0.005322372,0.019165792,0.025043823,-0.07080751,0.020688504,-0.0028667152,-0.00908133,-0.075736664,-0.020665318,-0.0076312777,-0.040428482,-0.0023575323,-0.0588414,0.0053448947,-0.024780847,-0.05489693,0.014807931
9,0.015674384,0.04703958,-0.059828423,0.058231764,-0.03819756,0.07903479,0.03109002,-0.11606163,-0.015205249,0.14160654,-0.039212376,0.059938543,0.051360317,0.072796054,0.06252233,0.03558222,-0.04256994,-0.11792208,-0.010701089,0.05183517,-0.027580451,-0.0035034115,0.06418159,-0.056168642,-0.13714346,0.0020302283,-0.077354364,-0.013926677,-0.052482646,0.027186988,0.071767755,0.00453219,-0.02150223,-0.0032198094,0.045278944,-0.06509858,0.024751281,0.046337917,-0.013073234,0.009341488,0.027427496,-0.06410833,-0.059360236,0.0022915583,0.1636945,-0.09836353,0.037046477,0.04040853,-0.021701567,0.06007915,0.031956322,0.19906798,-0.043041047,-0.08894146,-0.1564231,0.037979975,-0.024920605,0.0057440223,0.001499245,0.008060284,-0.056787007,-0.009701835,-0.118767515,0.07565505
