,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11
phi_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_3,0.0,0.0,0.42365363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_4,0.0,0.0,0.0,0.60884315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_5,0.0,0.3258364,0.0,0.55784816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_6,0.0,0.6172008,0.4544307,0.34135157,0.3689683,0.58779234,0.0,0.0,0.0,0.0,0.0,0.0
phi_7,0.32075015,0.0,0.34894037,0.5577193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi_8,0.45427698,0.31460837,0.0,0.0,0.48204225,0.0,0.7378707,0.0,0.0,0.0,0.0,0.0
phi_9,0.6619042,0.27473098,0.3323459,0.0,0.0,0.6759345,0.0,0.0,0.3283609,0.0,0.0,0.0
phi_10,0.0,0.6491275,0.0,0.0,0.6211204,0.45402253,0.6303323,0.0,0.2957123,0.0,0.0,0.0
phi_11,0.6983752,0.0,0.28710866,0.32055354,0.0,0.0,0.0,0.0,0.0,0.63089895,0.0,0.0
