sample,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
0,-0.1162216,0.010477546,-0.053327,0.0040990575,-0.034054726,0.05862239,0.015659459,0.14000231,-0.0241222,-0.049017422,-0.06956781,-0.07720215,-0.021064093,-0.063219644,0.069618225,0.13982031,-0.18055008,-0.10543878,0.0481513,-0.10478406,0.14820841,0.07648842,-0.030131076,-0.109980494,0.094598964,-0.030101301,-0.010219092,-0.041206673,0.03436271,0.017497635,0.1257123,0.0040939013,-0.12070463,-0.08596934,0.031540457,0.029224548,0.080601975,-0.03660038,-0.18228355,0.1639424,-0.0030054953,-0.015746493,0.03520905,-0.081972845,0.07778226,0.02034156,-0.010031614,0.050399028,0.04621827,-0.019138198,0.0028236732,0.070938826,0.118067116,0.03743703,0.08741002,0.020730987,-0.10135589,-0.027706947,0.0006873254,0.07524292,-0.03375038,-0.044153545,-0.08468975,0.036111668
1,-0.09274984,0.028413968,-0.049024977,0.11275104,0.049480528,0.061924398,-0.0048077083,0.068578996,0.058522865,0.018672377,-0.03328033,-0.15346175,-0.097546406,-0.084903955,-0.002798874,0.12787995,-0.07788871,-0.08178466,0.18854505,-0.08523058,0.114631146,0.0034679878,-0.10338524,0.013938196,0.043004997,-0.10278016,0.0055348375,-0.0067573385,0.17288911,-0.06929489,0.023857048,0.01991567,-0.064697415,-0.016541075,0.019448474,-0.020163458,0.064227216,-0.01924606,-0.071120195,0.098707266,-0.0108715845,-0.09443153,0.07997953,-0.069771126,0.02554851,0.045744516,0.04007563,-0.02548509,0.1006653,0.029614741,0.032676697,0.14451137,0.08904239,0.045831047,0.07994311,0.03655179,-0.009312024,0.021693459,0.022561997,0.08517811,0.09562922,-0.06594448,-0.18980265,0.13204458
2,-0.059293848,0.020269534,0.02535691,-0.044050764,-0.031041203,0.011348654,0.0041963086,-0.036524173,0.037530538,-0.04760117,0.06828895,-0.08724712,0.008381465,-0.048282854,0.024617562,0.09815168,-0.059625845,0.0047729975,-0.06332582,-0.057460584,-0.021373142,-0.07757347,-0.11572805,-0.025071736,-0.030436533,0.014160455,-0.010575611,-0.028511222,0.015589409,0.05160433,0.03138452,0.027895354,-0.03120448,0.016049437,0.097906366,0.09872675,-0.05277402,-0.011853809,-0.12025989,0.017814264,-0.038020536,-0.038488984,0.06618774,-0.025740795,0.08379423,-0.03457073,-0.09558944,0.0073862625,0.029405233,0.023900073,0.043340143,0.05273545,0.059731096,0.049582534,0.0043733064,-0.022260353,-0.05804356,0.03263027,0.014904101,-0.057101108,0.11248958,-0.01857523,0.050364118,0.074059196
3,-0.117828764,0.03761324,-0.0068109836,-0.06649101,-0.04808472,-0.0061136377,0.0498465,-0.014193922,0.009662878,-0.038283195,-0.046433292,-0.06584285,-0.014736032,-0.099222764,-0.0008234419,0.077374935,-0.1645118,-0.08473414,0.06043424,-0.065782785,0.11385152,0.0296962,0.072313376,-0.040705357,0.027286813,-0.016732622,-0.009377236,-0.015366733,0.109555446,0.0020726845,0.011451608,-0.01605111,0.028048396,-0.06406602,0.036030017,-0.014572349,-0.016682642,-0.04800055,-0.12921573,0.13132033,-0.0411496,-0.013673476,-0.02031099,-0.14330299,0.060542688,0.06328718,-0.0002668691,-0.009792168,0.054819733,0.008675603,-0.007592465,0.054845717,0.100043766,0.013110034,0.042944733,0.105100244,-0.038904496,0.030081414,-0.026121426,0.06501707,0.07175338,-0.005348254,-0.10079316,0.056970514
4,-0.08133811,0.065900065,-0.02811176,0.08180496,-0.12439045,-0.022852063,0.031162944,0.012061928,-0.027446777,0.06447464,0.0059380895,-0.088227995,-0.014794374,0.035937816,0.025371306,0.04782797,-0.10498735,-0.099060595,-0.030015634,-0.089772314,0.10689643,-0.053736415,-0.16181542,-0.034421112,-0.039265964,-0.0012616068,0.028662024,-0.09097953,0.040031537,0.0109265875,0.048737157,0.026135089,0.0011397405,-0.017076377,0.09928629,0.0010695192,-0.058332786,-0.06394246,-0.12118612,0.042007424,-0.03467443,-0.00304823,0.10125817,-0.012582061,-0.008101765,0.023320848,-0.008781156,-0.03967326,0.06808624,0.057641804,-0.0040743127,0.12292407,0.04872809,0.066052675,0.06105544,0.0042228843,-0.07933812,0.028635236,0.029247686,-0.03918212,0.077423446,-0.06201995,0.0052054,0.06985421
5,-0.07928373,-0.050346427,-0.031216608,0.013326004,-0.09055435,-0.031420164,-0.10379432,0.06419727,0.052131817,-0.05666374,-0.03184198,-0.13993752,0.026336882,-0.043498866,0.04555873,0.039090686,-0.10304783,-0.08582497,0.054119986,-0.09581747,0.13179705,0.029723983,-0.07066178,-0.0040575154,-0.0018316775,0.0069931545,0.00911268,-0.02291098,0.1154944,-0.03444822,0.074601226,0.0012489427,-0.10041308,-0.05065777,-0.008011879,-0.040557325,0.055624716,-0.030549647,-0.055383705,0.1290028,-0.014673293,-0.044576123,0.10176656,-0.061347403,0.06646937,0.057677526,0.010949305,0.024274848,-0.03915219,-0.009878903,0.020319533,0.071337365,0.061390147,0.005841438,0.12828763,0.014259795,-0.07043584,-0.003273685,-0.054986585,0.046357136,0.0042099277,-0.068626806,-0.031063903,0.009924998
6,0.008141538,0.09275903,0.09124274,0.060820963,-0.0007314151,0.038635258,0.0701334,0.062156543,-0.008626018,-0.07233776,0.040617667,-0.09193231,-0.025144018,0.025892384,-0.010657121,0.09602561,-0.05950267,-0.09637927,-0.09028459,-0.08556913,0.049274236,-0.05203613,-0.081052504,0.017883368,-0.07658865,-0.030481054,-0.025657916,-0.03994882,0.16239946,0.00835114,0.11583543,-0.040261246,-0.0879821,0.025438385,-0.0128843,0.07361828,0.0016676718,0.021923603,-0.07035491,0.05544483,-0.044016108,-0.03161405,0.20628384,-0.0076417644,-0.011922307,-0.0050047394,-0.0658281,-0.11603502,0.067071766,-0.010784051,-0.02873778,0.07748205,0.029225172,0.06110287,0.06329171,0.03221856,-0.0030739792,0.016019806,-0.038413234,0.043939732,0.049609803,-0.096412376,-0.08063933,0.14793497
7,-0.10989661,-0.042739503,0.0007399479,-0.026996452,-0.06194775,-0.025156103,-0.012352789,0.10195879,0.062678784,0.013835344,0.00011273194,-0.06926562,-0.008712164,-0.04272892,0.05413331,0.11420298,-0.15108205,-0.102963276,0.07755357,-0.10123126,0.12509729,0.023756126,-0.08689311,-0.006936737,0.014619598,-0.00936774,0.050756935,-0.059568763,0.0044950764,-0.064954594,0.09144311,0.028430153,-0.15419573,-0.04089294,0.026809396,0.007096991,-0.010556152,-0.05539484,-0.05677962,0.1830214,-0.015389526,-0.034046244,0.038578577,-0.11847274,-0.0023340508,0.04701872,-0.013137682,-0.004451206,0.029867817,-0.028147453,-0.07171014,0.10902983,0.05375404,-0.0420794,0.076439075,0.0019651055,-0.079961866,-0.0012089666,-0.032443527,0.08741608,-0.020274702,-0.039682597,-0.109692864,0.058573335
8,-0.022296399,0.059833538,0.028449409,0.040457062,-0.059431605,0.029844102,-0.040344115,0.056455817,0.029490948,0.010743275,0.0611143,-0.07743294,-0.065669075,-0.017470248,0.026594868,0.041343763,-0.026963837,-0.0061995317,0.021615803,-0.0011973651,0.088701665,0.04533036,-0.07865599,-0.02599302,-0.020577619,-0.025896791,-0.002804379,-0.0054924726,0.13915291,-0.04004772,0.07140382,0.031823616,-0.021861106,0.047842182,0.075844996,0.009513841,0.07440197,-0.05127299,0.016734328,0.12118768,-0.007463833,-0.012505977,0.0920053,0.027986133,0.03762569,-0.029813074,-0.007195418,-0.03860192,-0.008870987,0.053706724,-0.0045625335,0.046083596,0.026113894,0.06017746,0.066151164,-0.019016271,-0.03816484,0.029453505,0.035119344,0.055775,0.0430878,-0.00062263757,-0.0067195194,0.008791057
9,0.001534651,0.036790393,-0.0524756,0.042887352,0.07942988,0.008437641,0.07406792,-0.0708133,0.024406416,-0.033647552,-0.032113813,-0.005558544,0.025624115,-0.105529904,-0.08843649,0.08171039,-0.12199551,0.07708281,-0.025062107,-0.07475055,0.023605492,-0.06510554,0.043875836,-0.058000445,0.10425317,0.04564156,-0.026956176,-0.07213464,0.06274717,-0.099051066,-0.06453376,0.009873712,0.056966573,-0.06484966,-0.03733746,-0.07391679,-0.054748643,-0.008580683,-0.121774405,0.04016151,-0.016712695,-0.0689942,0.018637963,-0.061139993,0.00062326156,0.014556182,-0.053933587,-0.1066425,0.08234215,0.09814813,0.0138867535,0.019251876,0.021440044,0.03238824,-0.03433696,0.080225505,-0.011103407,0.07299122,-0.024025287,-0.018475749,-0.0022580707,-0.020336471,-0.1476963,0.1019495
