,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7
phi_0,0.0,0.0,0.0,0.0,0.0,0.0,0.35630172,0.53908795
phi_1,0.0,0.0,0.0,0.29763025,0.0,0.56258315,0.5593961,0.19969219
phi_2,0.30934107,0.0,0.0,0.0,0.0,0.06830436,0.24037838,0.0
phi_3,0.45795912,0.49148124,0.0,0.0,0.0,0.018915534,0.0,0.030121684
phi_4,0.0,0.0,0.4571399,0.29869884,0.0,0.5858447,0.29601324,0.0
phi_5,0.0,0.0,0.5287085,0.0,0.44476324,0.0,0.0,0.10494828
phi_6,0.53520507,0.0,0.0,0.3325649,0.0,0.0,0.0,0.24266303
phi_7,0.60225374,0.0,0.0,0.1813379,0.24725235,0.57572323,0.0,0.0
