sample,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
0,0.049663376,0.036984704,0.009477698,0.00082152896,-0.055584982,-0.038670436,-0.00028181914,-0.030768897,0.016647343,0.009970411,-0.010687608,0.034158997,0.07393075,-0.01968998,0.01937992,0.010836966,0.03563906,0.044695742,-0.028196847,0.027624171,0.028083403,-0.024778198,-0.09467356,-0.04475156,-0.0199862,0.014588112,0.032472137,0.09924085,-0.01769881,-0.013700092,0.035373025,0.028680515,-0.05963305,0.08652401,-0.0057956297,0.009114541,-0.009625204,0.040748574,-0.03977086,-0.0022177594,0.0030975575,-0.02134139,0.06612955,0.114377886,0.07990324,-0.0014464436,-0.06364689,0.0005741168,-0.04609018,0.0023417245,0.027255327,-0.019227771,0.040176336,-0.010679739,0.010544186,-0.0076596704,0.0130333435,-0.019188002,-0.07634656,-0.03727467,-0.044120353,-0.012566645,-0.053341202,0.049006455
1,0.052783296,-0.003944436,0.043606278,-0.033991836,-0.034261625,-0.059427842,0.08226707,-0.027212689,0.07358217,-0.08145007,0.05920292,-0.004881835,-0.04319054,0.028673545,-0.030983128,-0.0001045838,0.07914727,-0.03298681,-0.0010941252,0.034190487,-0.08071814,-0.008324718,-0.048322253,-0.014415804,-0.009208544,0.032118812,0.048231557,0.06845234,0.047131643,-0.11442411,0.036246907,-0.026551928,-0.00803351,0.0043128883,0.0038491944,-0.039422985,-0.0322569,0.017039843,-0.08198759,-0.019620717,-0.04365795,-0.022266211,-0.036438778,0.0023733107,0.06543401,0.0048742443,0.016326476,0.043174587,0.029104676,0.058190893,-0.007702208,0.035175733,0.006606216,0.049776584,-0.0037250593,-0.106055565,0.063175626,0.061193965,0.117651105,-0.0058138017,0.035265144,-0.076752335,-0.066524304,0.012210367
2,0.0054151407,-0.026067609,0.03426484,-0.02882679,-0.07107802,-0.036988523,-0.018987037,-0.056911685,0.054051798,0.00067560934,0.051473156,-0.028951818,0.042934217,0.010436472,-0.024126902,-0.048485853,0.014497316,-0.056391567,-0.025357071,-0.034845352,0.00027321605,0.00011529215,-0.08015245,-0.06000956,-0.018202776,0.06610742,-0.01930026,0.01471061,0.009593324,-0.0017405273,0.014719772,0.030392362,0.011064583,-0.015757341,0.053935762,0.008871097,-0.053977836,0.06956068,-0.022050638,0.0067683775,-0.0043474548,0.0625726,0.024517052,0.08188946,-0.090327755,-0.0021469598,0.0154280085,0.032176353,0.0021565543,-0.029594213,0.06934281,0.03364685,0.032565545,0.071691945,-0.05693874,-0.012994474,0.028864183,0.036791384,0.0070434306,-0.033637047,-0.012346321,0.07162321,-0.050796658,0.0026169438
3,-0.104653105,-0.022583624,-0.08754516,0.032830477,0.039890103,0.040536694,0.05244035,-0.043045796,0.07285012,-0.029569563,-0.009892692,0.02152293,0.0072220117,0.06300463,0.027309515,-0.015549958,0.11499102,-0.08705252,-0.076320134,-0.005610972,-0.031490613,-0.050047703,-0.09818789,-0.05065469,-0.012664253,-0.009430783,-0.030243464,0.07280715,0.08657636,0.023949582,-0.08868824,0.120189734,-0.0107933935,-0.0051888525,0.029235397,-0.03188162,-0.030154772,0.028517947,-0.18885827,-0.03403563,0.058524042,0.06909944,0.020865707,-0.0038250834,0.0076749977,0.04087478,-0.0070651476,-0.019792635,0.0744281,0.1417684,0.009627014,0.025361609,-0.00031958986,0.06587577,-0.0027074865,0.0019271602,0.0144386515,-0.017172046,-0.05959718,0.021205645,0.00080232136,0.0042754565,0.042121246,0.003991165
4,-0.015735593,0.04409701,-0.05134473,0.010831185,-0.04547759,-0.021686204,0.0541173,-0.041019946,0.011872482,-0.2198095,-0.046549827,0.039630108,-0.049260277,-0.04046821,-0.016225472,-0.02784413,0.065752305,-0.07404468,-0.03991621,0.047975883,0.06505685,-0.061818644,-0.059948146,-0.180781,-0.07035626,0.028857546,-0.007246174,-0.07109855,0.010244569,-0.032768764,-0.08467137,-0.018426035,-0.010405514,-0.024000749,0.0010723397,-0.077576086,-0.0023399564,0.079838455,0.05397927,-0.027716177,-0.078234226,0.07335364,-0.111956194,0.00960629,-0.019028816,0.020636633,0.008066681,0.10358031,0.071208395,0.03850627,-0.0019391915,0.01123853,-0.06787969,-0.13285516,0.060749933,-0.12934954,0.0705657,-0.0044976375,0.11220377,-0.0033402266,0.016569369,-0.026894202,-0.0067232745,0.06899819
5,-0.038220648,0.0637805,0.04428114,3.6786543e-05,0.01957329,-0.053942192,0.08774507,0.0019367952,-0.00041814242,-0.09914848,0.036636926,0.0112678865,0.076628216,-0.007216326,-0.04816022,0.030617429,-0.0152512435,0.0054967403,-0.08673981,-0.04613544,0.008063869,0.021726344,-0.058746554,-0.11616838,-0.02222243,0.12550431,0.02643238,0.030165222,0.012252944,0.081393935,-0.06867516,0.02583056,-0.028316401,0.05489292,0.06078097,-0.0008632275,-0.01277206,0.024326704,-0.009351838,-0.044731755,0.05259613,0.06095934,0.026655596,0.016570546,-0.07463478,-0.025722532,0.019849982,-0.023660507,0.03162568,-0.03921823,-0.0028151106,0.028070584,-0.050704677,-0.048718188,0.0059291665,-0.0081619285,-0.026941644,-0.026274765,0.080243185,0.007922844,0.02876594,0.05183945,-0.040926486,0.04682156
6,-0.0038994737,0.075940534,0.0050936504,0.021391254,-0.09595758,0.022974912,0.02703071,0.046144724,-0.056501586,0.017269302,-0.019228097,0.0075308383,0.063977405,0.01928859,-0.01663799,-0.008783659,0.021631837,0.02840937,-0.0111698285,-0.029269215,0.07300721,-0.054622177,-0.05770365,-0.1502356,-0.067901686,0.085600525,0.0034462847,-0.10518467,-0.03832185,0.057005495,-0.038336232,0.023334417,0.067151666,-0.028265093,0.07626442,0.014517695,-0.028379384,0.005418721,0.12784125,-0.0032598046,0.02190299,0.07478787,-0.05902095,0.03101872,-0.030959038,0.026904441,-0.042300247,0.045457844,-0.006216416,-0.041630596,0.03948609,0.05929559,-0.14545065,-0.06331608,0.063172065,-0.048504442,-0.030434921,0.011724663,-0.048923053,-0.00031925552,0.023120955,-0.00020426419,0.030740049,0.0006591007
7,-0.06560786,-0.097248666,0.034766093,0.013869146,0.060163155,0.028768452,0.07968415,0.07745691,0.07164058,-0.031567656,0.0059204926,0.009710835,0.08927727,0.0050292723,0.037965942,-0.010759766,-0.039496385,-0.04969594,-0.067213446,-0.035123702,-0.02531495,-0.090207286,-0.084246166,-0.10080944,-0.025367022,0.07842397,-0.011768311,0.02990321,0.011200076,-0.0066213617,-0.048553366,0.021751013,0.025350744,0.0070475778,-0.03898128,0.016497763,-0.008900287,0.02138381,-0.08168689,0.007903166,0.021014389,0.0787857,0.020098466,0.071697414,-0.05340987,-0.011922328,-0.013070929,-0.0372354,0.0108438935,0.06665013,0.03178778,0.01300633,-0.015254009,0.03151292,-0.023224296,0.0068334844,0.034621984,0.018436434,-0.03234573,0.041241698,0.012639473,0.023917262,0.03530132,0.070246115
8,-0.027761752,-0.005012268,0.014482254,-0.013214357,-0.049287308,0.024695285,0.065580525,-0.05513039,-0.032175567,-0.0123598315,0.030450609,-0.027506778,0.06756989,0.010322332,0.10398836,0.018826924,0.004179176,-0.029892037,0.0012745243,0.009830476,0.056030385,-0.08993308,-0.121889666,-0.19204111,-0.06580343,0.09071133,0.08931027,0.0012733554,-0.022274693,0.009629093,-0.06407313,0.055746496,0.01789646,-0.0028003808,-0.0115392795,-0.015807027,-0.018921226,0.035577945,-0.037504893,-0.042559244,-0.047614362,0.01685182,0.038939305,0.06395986,-0.0694445,-0.0023452519,0.0799081,0.014941881,-0.049511127,0.004850665,0.026537124,0.040327653,-0.0034686755,0.048256394,0.017603416,0.007982969,0.05541689,0.04033388,-0.017442241,-0.004938525,0.041457172,-0.026712392,-0.005441663,0.0043933615
9,0.045021765,0.032769006,-0.016031899,-0.03374992,0.0017063394,-0.016527519,0.012721876,-0.06520698,0.014495793,-0.035717495,0.009181716,0.033156157,0.06812875,0.036544774,-0.054467708,0.00028612604,-0.009885203,-0.008634863,-0.054806013,-0.011681001,0.027151916,0.073707744,-0.12809426,-0.09386805,-0.07062399,0.034235276,0.03448674,0.08316147,0.0677871,0.027692143,0.019002844,0.0802201,-0.042992312,0.04712659,0.08440605,0.03126518,0.007905379,0.03590625,-0.058407955,-0.022658851,0.07160404,0.031308472,0.060479492,0.06525782,0.008178211,-0.009961223,0.024031173,0.036104675,0.008825385,-0.0205223,-0.021776894,0.020699695,-0.038109407,0.066727236,0.012484755,-0.021650795,0.011104751,-0.015921032,0.05205697,0.0044359127,-0.024610594,0.005957674,0.0294132,0.070560314
